iter	Passed	Remaining
404	7646	30115
405	7674	30129
406	7698	30132
407	7729	30158
408	7753	30162
409	7775	30154
410	7795	30138
411	7814	30118
412	7830	30091
413	7850	30074
414	7868	30052
415	7885	30026
416	7901	29996
417	7921	29979
418	7941	29966
419	7960	29946
420	7987	29958
421	8010	29953
422	8032	29947
423	8050	29923
424	8067	29898
425	8084	29871
426	8104	29854
427	8122	29833
428	8141	29812
429	8160	29795
430	8177	29768
431	8194	29742
432	8212	29719
433	8229	29693
434	8246	29669
435	8265	29650
436	8284	29629
437	8302	29608
438	8321	29589
439	8339	29566
440	8356	29540
441	8373	29513
442	8394	29502
443	8410	29475
444	8429	29457
445	8450	29442
446	8466	29413
447	8484	29391
448	8501	29368
449	8519	29346
450	8537	29321
451	8554	29297
452	8571	29271
453	8590	29252
454	8608	29231
455	8625	29205
456	8644	29188
457	8662	29166
458	8680	29142
459	8698	29120
460	8716	29098
461	8734	29076
462	8750	29049
463	8766	29021
464	8784	28998
465	8801	28974
466	8818	28946
467	8836	28926
468	8854	28902
469	8870	28877
470	8887	28851
471	8906	28833
472	8923	28808
473	8941	28787
474	8961	28771
475	8982	28760
476	9003	28746
477	9025	28736
478	9044	28720
479	9061	28695
480	9077	28666
481	9095	28644
482	9115	28629
483	9132	28603
484	9149	28579
485	9167	28559
486	9184	28534
487	9201	28510
488	9218	28484
489	9237	28465
490	9254	28443
491	9270	28413
492	9286	28387
493	9303	28363
494	9320	28339
495	9340	28323
496	9360	28306
497	9378	28286
498	9399	28273
499	9420	28262
500	9440	28246
501	9461	28235
502	9485	28229
503	9507	28219
504	9528	28206
505	9543	28178
506	9560	28154
507	9577	28129
508	9594	28104
509	9610	28077
510	9626	28051
511	9643	28025
512	9659	27998
513	9675	27972
514	9691	27946
515	9707	27919
516	9724	27893
517	9741	27870
518	9759	27849
519	9777	27827
520	9795	27807
521	9812	27782
522	9827	27753
523	9844	27731
524	9861	27706
525	9877	27679
526	9893	27653
527	9911	27631
528	9927	27605
529	9944	27582
530	9961	27557
531	9979	27536
532	9996	27513
533	10014	27492
534	10031	27469
535	10051	27452
536	10071	27439
537	10093	27429
538	10113	27414
539	10129	27385
540	10145	27361
541	10162	27337
542	10178	27311
543	10194	27283
544	10211	27260
545	10228	27239
546	10245	27215
547	10262	27192
548	10280	27172
549	10299	27151
550	10317	27131
551	10334	27109
552	10353	27090
553	10371	27069
554	10390	27052
555	10408	27030
556	10425	27008
557	10443	26988
558	10461	26968
559	10476	26940
560	10495	26921
561	10513	26900
562	10530	26877
563	10548	26858
564	10565	26833
565	10581	26809
566	10600	26790
567	10616	26766
568	10632	26740
569	10649	26717
570	10667	26696
571	10685	26676
572	10702	26654
573	10720	26633
574	10737	26609
575	10754	26586
576	10770	26561
577	10788	26540
578	10804	26516
579	10822	26496
580	10840	26476
581	10856	26451
582	10873	26428
583	10890	26404
584	10907	26382
585	10922	26356
586	10942	26341
587	10964	26328
588	10983	26312
589	11001	26292
590	11018	26268
591	11034	26245
592	11051	26222
593	11067	26196
594	11083	26173
595	11102	26153
596	11121	26137
597	11139	26117
598	11157	26096
599	11174	26073
600	11189	26046
601	11208	26027
602	11226	26010
603	11245	25991
604	11264	25972
605	11285	25960
606	11306	25946
607	11323	25925
608	11336	25894
609	11354	25872
610	11371	25850
611	11388	25827
612	11404	25804
613	11420	25780
614	11436	25754
615	11453	25733
616	11470	25709
